crime_type_code,date,frequency,total_crime_count
0.0.0,2012-01-01,101793,9465192
0.0.0,2012-02-01,88060,9465192
0.0.0,2012-03-01,99090,9465192
0.0.0,2012-04-01,91292,9465192
0.0.0,2012-05-01,95724,9465192
0.0.0,2012-06-01,92507,9465192
0.0.0,2012-07-01,89261,9465192
0.0.0,2012-08-01,91921,9465192
0.0.0,2012-09-01,91941,9465192
0.0.0,2012-10-01,100276,9465192
0.0.0,2012-11-01,96930,9465192
0.0.0,2012-12-01,89084,9465192
0.0.0,2013-01-01,93445,9465192
0.0.0,2013-02-01,84578,9465192
0.0.0,2013-03-01,89354,9465192
0.0.0,2013-04-01,89198,9465192
0.0.0,2013-05-01,91286,9465192
0.0.0,2013-06-01,90414,9465192
0.0.0,2013-07-01,91205,9465192
0.0.0,2013-08-01,88303,9465192
0.0.0,2013-09-01,88486,9465192
0.0.0,2013-10-01,95316,9465192
0.0.0,2013-11-01,90232,9465192
0.0.0,2013-12-01,86844,9465192
0.0.0,2014-01-01,93529,9465192
0.0.0,2014-02-01,81711,9465192
0.0.0,2014-03-01,91787,9465192
0.0.0,2014-04-01,85893,9465192
0.0.0,2014-05-01,82461,9465192
0.0.0,2014-06-01,81469,9465192
0.0.0,2014-07-01,80176,9465192
0.0.0,2014-08-01,77211,9465192
0.0.0,2014-09-01,81047,9465192
0.0.0,2014-10-01,86257,9465192
0.0.0,2014-11-01,81825,9465192
0.0.0,2014-12-01,79289,9465192
0.0.0,2015-01-01,82240,9465192
0.0.0,2015-02-01,74329,9465192
0.0.0,2015-03-01,80839,9465192
0.0.0,2015-04-01,77975,9465192
0.0.0,2015-05-01,78624,9465192
0.0.0,2015-06-01,78970,9465192
0.0.0,2015-07-01,82218,9465192
0.0.0,2015-08-01,76605,9465192
0.0.0,2015-09-01,78695,9465192
0.0.0,2015-10-01,84653,9465192
0.0.0,2015-11-01,82700,9465192
0.0.0,2015-12-01,83373,9465192
0.0.0,2016-01-01,80462,9465192
0.0.0,2016-02-01,73792,9465192
0.0.0,2016-03-01,75937,9465192
0.0.0,2016-04-01,75113,9465192
0.0.0,2016-05-01,78595,9465192
0.0.0,2016-06-01,78246,9465192
0.0.0,2016-07-01,74929,9465192
0.0.0,2016-08-01,75218,9465192
0.0.0,2016-09-01,76119,9465192
0.0.0,2016-10-01,76254,9465192
0.0.0,2016-11-01,75443,9465192
0.0.0,2016-12-01,74113,9465192
0.0.0,2017-01-01,73840,9465192
0.0.0,2017-02-01,66694,9465192
0.0.0,2017-03-01,76149,9465192
0.0.0,2017-04-01,64856,9465192
0.0.0,2017-05-01,70027,9465192
0.0.0,2017-06-01,69264,9465192
0.0.0,2017-07-01,69040,9465192
0.0.0,2017-08-01,65290,9465192
0.0.0,2017-09-01,64232,9465192
0.0.0,2017-10-01,69186,9465192
0.0.0,2017-11-01,66111,9465192
0.0.0,2017-12-01,61932,9465192
0.0.0,2018-01-01,66901,9465192
0.0.0,2018-02-01,56854,9465192
0.0.0,2018-03-01,61154,9465192
0.0.0,2018-04-01,61261,9465192
0.0.0,2018-05-01,64526,9465192
0.0.0,2018-06-01,64240,9465192
0.0.0,2018-07-01,66408,9465192
0.0.0,2018-08-01,64730,9465192
0.0.0,2018-09-01,62997,9465192
0.0.0,2018-10-01,69751,9465192
0.0.0,2018-11-01,68596,9465192
